,ORDER_ID,PRICE,SIZE,BUY_SELL_FLAG,TYPE,ask_price_1,ask_size_1,bid_price_1,bid_size_1,MID_PRICE,SPREAD,ORDER_VOLUME_IMBALANCE,VWAP
2019-06-28 09:30:02.000126232,3,1010.32,100,True,LIMIT_ORDER,9999999999.0,9999999999.0,-9999999999.0,-9999999999.0,0.0,199999999.98,inf,
2019-06-28 09:30:02.000126232,4,997.26,100,False,ORDER_EXECUTED,9999999999.0,9999999999.0,-9999999999.0,-9999999999.0,0.0,199999999.98,inf,997.26
2019-06-28 09:30:02.000126232,3,1010.32,100,True,ORDER_EXECUTED,9999999999.0,9999999999.0,-9999999999.0,-9999999999.0,0.0,199999999.98,inf,1003.79
2019-06-28 09:30:02.000144550,8,1010.55,100,False,LIMIT_ORDER,101055.0,100.0,99156.0,100.0,1001.055,18.99,0.5,1003.79
2019-06-28 09:30:02.000173184,14,996.27,100,True,LIMIT_ORDER,101055.0,100.0,99627.0,100.0,1003.41,14.28,0.5,1003.79
2019-06-28 09:30:02.000176785,21,998.57,100,False,LIMIT_ORDER,99857.0,100.0,99627.0,100.0,997.42,2.3,0.5,1003.79
2019-06-28 09:30:02.000179872,22,1014.88,100,False,LIMIT_ORDER,99857.0,100.0,99627.0,100.0,997.42,2.3,0.5,1003.79
2019-06-28 09:30:02.000191562,12,988.57,100,True,LIMIT_ORDER,99857.0,100.0,99627.0,100.0,997.42,2.3,0.5,1003.79
2019-06-28 09:30:02.000192645,34,1004.06,100,True,LIMIT_ORDER,101055.0,100.0,99627.0,100.0,1003.41,14.28,0.5,1003.79
2019-06-28 09:30:02.000192645,21,998.57,100,False,ORDER_EXECUTED,101055.0,100.0,99627.0,100.0,1003.41,14.28,0.5,1002.05
2019-06-28 09:30:02.000192645,34,1004.06,100,True,ORDER_EXECUTED,101055.0,100.0,99627.0,100.0,1003.41,14.28,0.5,1002.5525
2019-06-28 09:30:02.000193266,5,999.97,100,True,LIMIT_ORDER,101055.0,100.0,99997.0,100.0,1005.26,10.58,0.5,1002.5525
2019-06-28 09:30:02.000196106,11,991.81,100,True,LIMIT_ORDER,101055.0,100.0,99997.0,100.0,1005.26,10.58,0.5,1002.5525
2019-06-28 09:30:02.000202052,27,1021.83,100,False,LIMIT_ORDER,101055.0,100.0,99997.0,100.0,1005.26,10.58,0.5,1002.5525
2019-06-28 09:30:02.000205205,15,997.84,100,False,LIMIT_ORDER,101055.0,100.0,99627.0,100.0,1003.41,14.28,0.5,1002.5525
2019-06-28 09:30:02.000205205,15,997.84,100,False,ORDER_EXECUTED,101055.0,100.0,99627.0,100.0,1003.41,14.28,0.5,1001.61
2019-06-28 09:30:02.000205205,5,999.97,100,True,ORDER_EXECUTED,101055.0,100.0,99627.0,100.0,1003.41,14.28,0.5,1001.3366666666667
2019-06-28 09:30:02.000214297,42,1001.0,100,False,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1001.3366666666667
2019-06-28 09:30:02.000226659,102,989.08,100,True,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1001.3366666666667
2019-06-28 09:30:02.000242654,39,997.88,100,False,LIMIT_ORDER,99788.0,100.0,99627.0,100.0,997.075,1.61,0.5,1001.3366666666667
2019-06-28 09:30:02.000245394,48,1000.06,100,False,LIMIT_ORDER,99788.0,100.0,99627.0,100.0,997.075,1.61,0.5,1001.3366666666667
2019-06-28 09:30:02.000251079,45,992.49,100,True,LIMIT_ORDER,99788.0,100.0,99627.0,100.0,997.075,1.61,0.5,1001.3366666666667
2019-06-28 09:30:02.000252461,17,992.21,100,True,LIMIT_ORDER,99788.0,100.0,99627.0,100.0,997.075,1.61,0.5,1001.3366666666667
2019-06-28 09:30:02.000256211,28,1003.63,100,False,LIMIT_ORDER,99788.0,100.0,99627.0,100.0,997.075,1.61,0.5,1001.3366666666667
2019-06-28 09:30:02.000257298,39,997.88,100,False,ORDER_EXECUTED,100006.0,100.0,99627.0,100.0,998.165,3.79,0.5,1000.8428571428572
2019-06-28 09:30:02.000257298,25,1009.43,100,True,ORDER_EXECUTED,100006.0,100.0,99627.0,100.0,998.165,3.79,0.5,1001.91625
2019-06-28 09:30:02.000257298,25,1009.43,100,True,LIMIT_ORDER,100006.0,100.0,99627.0,100.0,998.165,3.79,0.5,1001.91625
2019-06-28 09:30:02.000262747,48,1000.06,100,False,ORDER_EXECUTED,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1001.71
2019-06-28 09:30:02.000262747,37,1008.56,100,True,ORDER_EXECUTED,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.395
2019-06-28 09:30:02.000262747,37,1008.56,100,True,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.395
2019-06-28 09:30:02.000264967,30,994.51,100,True,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.395
2019-06-28 09:30:02.000271499,38,1004.39,100,False,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.395
2019-06-28 09:30:02.000278075,51,992.32,100,True,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.395
2019-06-28 09:30:02.000284035,46,999.05,100,False,LIMIT_ORDER,99905.0,100.0,99627.0,100.0,997.66,2.78,0.5,1002.395
2019-06-28 09:30:02.000290480,32,1008.84,100,True,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.395
2019-06-28 09:30:02.000290480,46,999.05,100,False,ORDER_EXECUTED,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.0909090909091
2019-06-28 09:30:02.000290480,32,1008.84,100,True,ORDER_EXECUTED,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.6533333333333
2019-06-28 09:30:02.000293438,54,984.74,100,True,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.6533333333333
2019-06-28 09:30:02.000295384,13,995.63,100,True,LIMIT_ORDER,100100.0,100.0,99627.0,100.0,998.635,4.73,0.5,1002.6533333333333
2019-06-28 09:30:02.000302045,20,997.71,100,False,LIMIT_ORDER,99771.0,100.0,99627.0,100.0,996.99,1.44,0.5,1002.6533333333333
2019-06-28 09:30:02.000302394,53,991.42,100,True,LIMIT_ORDER,99771.0,100.0,99627.0,100.0,996.99,1.44,0.5,1002.6533333333333
2019-06-28 09:30:02.000303792,29,997.58,100,True,LIMIT_ORDER,99771.0,100.0,99758.0,100.0,997.645,0.13,0.5,1002.6533333333333
2019-06-28 09:30:02.000327089,18,995.77,100,True,LIMIT_ORDER,99771.0,100.0,99758.0,100.0,997.645,0.13,0.5,1002.6533333333333
2019-06-28 09:30:02.000327578,56,1006.75,100,False,LIMIT_ORDER,99771.0,100.0,99758.0,100.0,997.645,0.13,0.5,1002.6533333333333
2019-06-28 09:30:02.000335194,31,991.68,100,True,LIMIT_ORDER,99771.0,100.0,99758.0,100.0,997.645,0.13,0.5,1002.6533333333333
2019-06-28 09:30:02.000336191,55,996.29,100,True,LIMIT_ORDER,99771.0,100.0,99758.0,100.0,997.645,0.13,0.5,1002.6533333333333
2019-06-28 09:30:02.000353722,58,996.24,100,True,LIMIT_ORDER,99771.0,100.0,99758.0,100.0,997.645,0.13,0.5,1002.6533333333333
